Total Duration: 3:58:54

# ; Date ; Duration ; Title ; URL ; Description
---------------------------------------------------------
1 ; 2025-05-26 ; 05:43 ; Koma Raperîn - Însanê Nezan ; https://www.youtube.com/watch?v=-yepKHce_G0 ; Klîpê stranê "Însanê Nezan" ji hêla dengbêjên "Koma Raperîn" ve hatî amadekirin, koma mûzîka filiklorê ya kurdî li Efrînê. Karek hunerî ku mîrata kurdî bi giyanek herdem û hestek resen û bi awayek nû pêşkêş dike.  فيديو كليب "Însanê Nezan" من أداء مطربي "Koma Raperîn" فرقة الموسيقا الفلكلورية  و التراث الكردي في عفرين. عمل فني يجسّد التراث الكردي بروحٍ معاصرة وإحساسٍ أصيل.  platformên me yên medya civakî ne  حساباتنا على منصات التواصل   يوتيوب . You Tube  https://youtube.com/@KOMARAPERIN?si=TGZ9JxJS2jJyeMuC انستغرام . Instagram  https://www.instagram.com/raperin_efrin?igsh=eTZiOWhpZnNheW95 تيك توك . Tik Tok  tiktok.com/@koma.raperin بريد التواصل . e-mail  komaraperin2004@gmail.com   #komaraperîn
2 ; 2025-04-26 ; 18:19 ; فرقة رابرين عيد نوروز باسوطة ; https://www.youtube.com/watch?v=tJCZwoI5Sik ; 
3 ; 2025-04-26 ; 17:16 ; فرقة رابرين ; https://www.youtube.com/watch?v=--KoX9oqc3o ; 
4 ; 2025-04-26 ; 11:50 ; فرقة رابربن عيد نوروز باسوطة ; https://www.youtube.com/watch?v=NcdEb2ULGgs ; 
5 ; 2025-03-26 ; 02:21 ; نوروز باسوطة [انتظرونا قريبا ] ; https://www.youtube.com/watch?v=EPFbGvd7qMk ; قناة مخصص لتصوير فيديوهات لمدينة عفرين و قراها  https://linktr.ee/Afrin1996 li benda me bin di demek  nêzîk de newroza basûtê bi tmamî li ser qenala yûtiyobê انتظرونا قريبأ عيد نوروز باسوطة كامل على اليوتيوب ...  #كوما رابرين  #عفرين #باسوطة https://youtube.com/@KOMARAPERIN?si=_7adyikaSKcswLm2 درون : زانا خليل  تصوير ارضي :شرفان ايبش  مونتاج : ظافر حميدي
6 ; 2024-07-26 ; 06:10 ; موسم الرمان في دشتا (جومه) ; https://www.youtube.com/watch?v=prBfEpcby30 ; بإمكانكم متابعة جميع حساباتنا على مواقع التواصل الاجتماعي عن طريق الرابط بالاسفل _____  https://linktr.ee/Afrin1996 _____ من قرى ونواحي مدينة عفرين نقدم لكم برنامجنا الجديد بحلقاته المتنوعة في هذا البرنامج سنصطحبكم معنا في احضان الطبيعة والقرى الجميلة ونعرفكم على تراث المدينة وتاريخ قراها وعادات وتقاليد اهلها. Ji gund û navçeyên bajarê Efrînê em bernameya xwe ya nû bi beşên xwe yên cûr bi cûr pêşkêşî we dikin, di vê bernameyê de emê we bi xwe re di nava xweza û gundên xweş de bigerînin û kultûra û dîroka bajêr bi we bidin nasîn. dîroka gundên wê û urf û edetên xelkê wê. DERHENER:  SEBRÎ CAN ÇÊKERÎ Û PÊŞKÊŞÎ : ZANA XELÎL DÎMENKÊŞÊ DRON:  LOAY EL HAS DÎMENKÊŞ: MOHEMED HEMDOŞ / ZEKÎ OMER MONTAJ: ZAFÊR HIMÊDÎ ŞÎROVEKIRINA DENG: JIYAN HUSERÎ #efrîn#afrin #عفرين #معراتة #كفيره #باسوطة #kurd #explore #rojava #drone #dronephotography #dronestagram #drones #dronephoto #droneofficial #photography #photographers #naturephotography
7 ; 2024-07-26 ; 02:22 ; نقدم لكم  حكاية أخرى من  مدينتي عفرين  شعبان شيخو من قرية ميدونو ; https://www.youtube.com/watch?v=THv38LsJ8_k ; قناة مخصص لتصوير فيديوهات لمدينة عفرين و قراها  https://linktr.ee/Afrin1996
8 ; 2024-07-26 ; 39:33 ; برنامج قُرَانا الحلقة السادسة (معراتة ) ; https://www.youtube.com/watch?v=0cTNrtYja4M ; بإمكانكم متابعة جميع حساباتنا على مواقع التواصل الاجتماعي عن طريق الرابط بالاسفل _____  https://linktr.ee/Afrin1996 _____ من قرى ونواحي مدينة عفرين نقدم لكم برنامجنا الجديد بحلقاته المتنوعة في هذا البرنامج سنصطحبكم معنا في احضان الطبيعة والقرى الجميلة ونعرفكم على تراث المدينة وتاريخ قراها وعادات وتقاليد اهلها. Ji gund û navçeyên bajarê Efrînê em bernameya xwe ya nû bi beşên xwe yên cûr bi cûr pêşkêşî we dikin, di vê bernameyê de emê we bi xwe re di nava xweza û gundên xweş de bigerînin û kultûra û dîroka bajêr bi we bidin nasîn. dîroka gundên wê û urf û edetên xelkê wê. DERHENER:  SEBRÎ CAN ÇÊKERÎ Û PÊŞKÊŞÎ : ZANA XELÎL DÎMENKÊŞÊ DRON:  LOAY EL HAS DÎMENKÊŞ: MOHEMED HEMDOŞ / ZEKÎ OMER MONTAJ: ZAFÊR HIMÊDÎ ŞÎROVEKIRINA DENG: JIYAN HUSERÎ #efrîn#afrin #عفرين #معراتة #كفيره #باسوطة #kurd #explore #rojava #drone #dronephotography #dronestagram #drones #dronephoto #droneofficial #photography #photographers #naturephotography
9 ; 2023-07-26 ; 03:08 ; ASLAN SHER BAVÛ ; https://www.youtube.com/watch?v=vxwNhX7_Hu8 ; قناة مخصص لتصوير فيديوهات لمدينة عفرين و قراها  https://linktr.ee/Afrin1996
10 ; 2023-07-26 ; 26:28 ; برنامج قُرَانا الحلقة الخامسة(خلنير ) ; https://www.youtube.com/watch?v=w28vuS2KYis ; بإمكانكم متابعة جميع حساباتنا على مواقع التواصل الاجتماعي عن طريق الرابط بالاسفل _____  https://linktr.ee/Afrin1996 _____ من قرى ونواحي مدينة عفرين نقدم لكم برنامجنا الجديد بحلقاته المتنوعة في هذا البرنامج سنصطحبكم معنا في احضان الطبيعة والقرى الجميلة ونعرفكم على تراث المدينة وتاريخ قراها وعادات وتقاليد اهلها. Ji gund û navçeyên bajarê Efrînê em bernameya xwe ya nû bi beşên xwe yên cûr bi cûr pêşkêşî we dikin, di vê bernameyê de emê we bi xwe re di nava xweza û gundên xweş de bigerînin û kultûra û dîroka bajêr bi we bidin nasîn. dîroka gundên wê û urf û edetên xelkê wê. DERHENER:  SEBRÎ CAN ÇÊKERÎ Û PÊŞKÊŞÎ : ZANA XELÎL DÎMENKÊŞÊ DRON:  LOAY EL HAS DÎMENKÊŞ: MOHEMED HEMDOŞ / ZEKÎ OMER MONTAJ: ZAFÊR HIMÊDÎ ŞÎROVEKIRINA DENG: JIYAN HUSERÎ #efrîn#afrin #عفرين #معراتة #كفيره #باسوطة #kurd #explore #rojava #drone #dronephotography #dronestagram #drones #dronephoto #droneofficial #photography #photographers #naturephotography
